seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21
cycle10.1	29	31	28	19	17	10	19	0	0	4	0	0	0	0	0	0	0	0	0	0	0
cycle10.2	22	16	15	13	12	10	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0
cycle10.3	34	29	24	13	11	8	14	0	5	3	0	0	0	0	0	0	0	0	0	0	0
cycle11.1	78	62	72	37	30	21	27	9	20	3	0	0	0	0	0	0	0	0	0	0	0
cycle11.2	76	52	74	30	32	25	29	10	13	0	0	0	0	0	0	0	0	0	0	0	0
cycle11.3	80	61	80	31	22	24	37	7	9	4	0	0	0	0	0	0	0	0	0	0	0
cycle12.1	146	139	132	60	81	51	64	32	25	16	0	0	0	0	0	0	0	0	0	0	0
cycle12.2	164	114	131	70	68	60	64	21	21	22	0	0	0	0	0	0	0	0	0	0	0
cycle12.3	184	162	185	65	74	63	82	31	22	27	0	0	0	5	0	0	0	0	0	0	0
cycle13.1	355	250	296	129	125	121	141	35	61	27	0	0	24	0	0	0	0	0	0	0	0
cycle13.2	341	274	267	145	117	91	154	32	48	28	0	0	32	4	0	0	0	0	0	0	0
cycle13.3	365	245	272	147	124	112	143	39	52	22	0	0	0	7	0	0	0	0	0	0	0
cycle14.1	356	476	416	177	225	197	273	43	78	37	0	52	45	15	0	0	0	0	0	0	0
cycle14.2	722	585	538	332	235	208	337	84	102	44	0	53	59	15	0	0	0	0	0	0	0
cycle14.3	736	719	580	402	241	260	330	96	139	52	43	73	68	19	0	0	0	0	0	0	0
cycle15.1	1232	970	838	518	374	365	476	100	180	52	75	100	95	23	0	0	0	0	0	0	0
cycle15.2	813	1066	981	449	388	450	528	107	193	103	83	127	114	25	0	0	0	0	0	0	0
cycle15.3	1208	936	838	502	306	330	488	104	138	73	53	85	88	18	0	0	0	0	0	0	0
cycle16.1	2158	1823	1159	942	639	654	869	236	349	153	114	132	122	46	0	0	0	0	0	0	0
cycle16.2	2452	1863	1745	1029	781	774	1043	238	381	180	156	230	173	46	0	0	0	0	0	0	0
cycle16.3	2529	2011	1912	1205	766	834	1044	274	456	173	158	205	178	46	0	0	0	0	0	0	0
cycle17.1	5121	3923	3788	2380	1579	1726	2162	803	870	481	353	436	389	86	0	0	0	0	0	0	0
cycle17.2	5180	3988	3590	2439	1632	1643	2042	813	935	453	319	443	364	106	0	0	0	0	0	0	0
cycle17.3	3143	2531	2119	1369	959	920	1307	469	526	287	196	225	203	61	0	0	0	0	0	0	0
cycle18.1	6968	5505	5039	2596	2043	2276	2977	653	969	523	402	578	514	113	0	0	0	0	0	0	0
cycle18.2	7763	6341	5360	3275	2395	2647	3239	755	1065	535	473	591	577	137	0	0	0	0	0	0	0
cycle18.3	9801	7860	6974	4262	2947	3105	3985	1080	1348	762	602	832	752	164	0	0	0	0	0	0	0
cycle19.1	12236	9723	7151	6519	3994	3974	4846	3794	2311	1359	796	841	753	226	0	0	0	0	0	0	0
cycle19.2	16344	12844	10999	8250	5232	5479	6326	4032	2707	1912	996	1277	1177	299	68	0	0	0	0	0	0
cycle19.3	18219	14894	13132	9217	6064	6527	7352	4613	3158	2255	1145	1559	1407	312	62	0	0	0	0	0	0
